PRODUCT_NAME;PRODUCT_DESC;PRODUCT_SCHOOL;PRODUCT_CATEGORY;PRODUCT_GENDER;PRODUCT_SIZE;PRODUCT_PRICE;PRODUCT_IMG_LINK;PRODUCT_STOCK
NU New;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/NU-New-bulldogs_Navy-blue.png;50
NU Script;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/NU-Script_Navy-blue.png;46
NU Vinyl;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/NU-Vinyl_Navy-blue.png;21
NU Vinyl v2;One of our classic round-neck cheer shirts for UAAP National-U Bulldogs. 65% Polyester, 35% Cotton;NU;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/NU_Vinyl_navy-blue-600x600.png;39
UE Classic;One of our new round-neck cheer shirts for UAAP UE Red Warriors. 65% Polyester, 35% Cotton;UE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;340;https://i.ibb.co/3mvqtLN/resized-image-Promo.jpg;27
Go Fight Red & White;One of our new round-neck cheer shirts for UAAP UE Red Warriors. 65% Polyester, 35% Cotton;UE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;340;https://i.ibb.co/1fT7Q7w/resized-image-Promo-1.jpg;50
UE 3/4;One of our new round-neck cheer shirts for UAAP UE Red Warriors. 65% Polyester, 35% Cotton;UE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;355;https://i.ibb.co/Pr0GZV9/resized-image-Promo-2.jpg;65
UE 1946;One of our new round-neck cheer shirts for UAAP UE Red Warriors. 65% Polyester, 35% Cotton;UE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;340;https://i.ibb.co/mzv9YGV/resized-image-Promo-3.jpg;49
UE Chibi Shirt;One of our new round-neck cheer shirts for UAAP UE Red Warriors. 65% Polyester, 35% Cotton;UE;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;340;https://i.ibb.co/Jcn1wYf/resized-image-Promo-4.jpg;52
UE Asteroid Jacket;One of our jacket designs for UAAP UE Red Warriors. ;UE;JACKETS;U | F | M;XS | S | M | L | XL;875;https://i.ibb.co/LnrFP9W/resized-image-Promo-5.jpg;59
UE Jacket Script;One of our jacket designs for UAAP UE Red Warriors. Yonex fabric;UE;JACKETS;U | F | M;XS | S | M | L | XL;1370;https://i.ibb.co/sCh2tQB/resized-image-Promo-6.jpg;48
UP Oblation;One of our new round-neck cheer shirts for UAAP UP Fighting Maroons. 65% Polyester, 35% Cotton;UP;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;380;https://www.schoolbusclothing.com/wp-content/uploads/2019/03/UP-Oblation-front800x800-600x600.jpg;48
Utak at Puso V.1;One of our new round-neck cheer shirts for UAAP UP Fighting Maroons. 65% Polyester, 35% Cotton;UP;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;380;https://www.schoolbusclothing.com/wp-content/uploads/2019/04/UP_Utak-at-Puso-1-600x600.png;21
UP Rise Up;One of our new round-neck cheer shirts for UAAP UP Fighting Maroons. 65% Polyester, 35% Cotton;UP;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://i.ibb.co/MsrCSG3/resized-image-Promo-1.jpg;60
UP Essential;One of our new round-neck cheer shirts for UAAP UP Fighting Maroons. 65% Polyester, 35% Cotton;UP;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://i.ibb.co/8cWMHGm/resized-image-Promo-6.jpg;42
UP Oblation V2;One of our new round-neck cheer shirts for UAAP UP Fighting Maroons. 65% Polyester, 35% Cotton;UP;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://i.ibb.co/ySYtPtp/resized-image-Promo-3.jpg;64
UP Sweatshirt;One of our classic sweatshirt designs for UAAP UP Fighting Maroons. French Terry fabric;UP;SWEATSHIRTS;       F | M;XS | S | M | L | XL;1600;https://i.ibb.co/Mf61MVP/resized-image-Promo-4.jpg;43
Growl Tigers Growl v2;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-113-Y_Front-600x600.jpg;55
Tiger Day;One of our classic round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-104-Y_Front-600x600.jpg;47
UST Batch 2019;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/UST_Batch-2019_yg.png;35
UST Embro;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/UST_Embro-Tiger_yg.png;22
UST Fades;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2019/06/UST-Fades-600x600.png;22
Go USTe v2018;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-109-Y_Front-600x600.jpg;36
UST Vinyl;One of our classic round-neck cheer shirts for UAAP UST Growling Tiger. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;450;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-106-Y_Front-600x600.jpg;21
UST Halftone;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-114-BK_Front-600x600.jpg;64
Espanya Signage;One of our new round-neck cheer shirts for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;CLASSIC SHIRTS;       F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-108-BK_Front-600x600.jpg;24
Varsity Jacket;One of our jacket designs for UAAP UST Growling Tigers. Yonex fabric;UST;JACKETS;U | F | M;XS | S | M | L | XL;1350;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-125-BK_Front-600x600.jpg;65
Sweatshirt;One of our classic sweatshirt designs for UAAP UST Growling Tigers. French Terry fabric;UST;SWEATSHIRTS;       F | M;XS | S | M | L | XL;1200;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-103-Y_Front-600x600.jpg;33
Hiding Tiger Pocket Tee;One of our new round-neck pocket tees for UAAP UST Growling Tigers. 65% Polyester, 35% Cotton;UST;POCKET TEES;U | F | M;XS | S | M | L | XL;400;https://www.schoolbusclothing.com/wp-content/uploads/2018/09/schoolbus-clothing_UST_SBC-D-111-BK_Front-600x600.jpg;21
